config_1,config_2,mean_1,mean_2,t_statistic,p_value,cohens_d,significant
Freeze backbone+proj+blocks 0-3,Freeze blocks 0-11,0.9747876,0.9878608,-8.000530185076531,0.00046643408933382435,-5.059979574754061,True
Freeze transformer,Freeze blocks 0-5 (BN frozen),0.9827674,0.565195,8.840982281171536,0.0008084001135741461,5.591528152338645,True
Freeze blocks 0-3,Freeze blocks 0-5 (BN frozen),0.9822579999999999,0.565195,8.846580701838773,0.000834139999557069,5.595068904460291,True
Freeze backbone,Freeze blocks 0-5 (BN frozen),0.9882002,0.565195,9.008660434224588,0.000836950134984788,5.697577127838238,True
Freeze blocks 0-11,Freeze blocks 0-5 (BN frozen),0.9878608,0.565195,9.002969265109513,0.0008416421106153129,5.693977716447669,True
Freeze blocks 0-8,Freeze blocks 0-5 (BN frozen),0.9876061999999999,0.565195,8.996744828443843,0.000842493555227487,5.690041037044673,True
Freeze backbone+proj,Freeze blocks 0-5 (BN frozen),0.9875212000000001,0.565195,8.995257871800893,0.0008435899152405953,5.689100603089944,True
Freeze none,Freeze blocks 0-5 (BN frozen),0.976146,0.565195,8.694239414582906,0.0008516598114123385,5.498719814578187,True
Freeze transformer+proj,Freeze blocks 0-5 (BN frozen),0.9852292,0.565195,8.944071908065816,0.0008581056355749435,5.656727757163221,True
Freeze blocks 0-5,Freeze blocks 0-5 (BN frozen),0.982428,0.565195,8.874092920832299,0.0008657929441395559,5.612469159561267,True
Freeze transformer+proj,Freeze backbone+proj+blocks 0-3,0.9852292,0.9747876,5.174724080389765,0.000914838794410408,3.2727828713903837,True
Freeze backbone+proj+blocks 0-3,Freeze blocks 0-5 (BN frozen),0.9747876,0.565195,8.720477872132804,0.000943333490712033,5.51531447220765,True
Freeze backbone+proj+blocks 0-5,Freeze blocks 0-5,0.9641766,0.982428,-5.091724487533609,0.0009525631083420104,-3.220289319731964,True
Freeze backbone+proj+blocks 0-5,Freeze blocks 0-5 (BN frozen),0.9641766,0.565195,8.48756562139289,0.00103146927241681,5.368007830748776,True
Freeze backbone+proj+blocks 0-8,Freeze blocks 0-5 (BN frozen),0.924703,0.565195,7.639686326458972,0.0015164243234450385,4.831761880171007,True
Freeze backbone,Freeze blocks 0-11 (BN frozen),0.9882002,0.5994056,6.7880802998794785,0.0024534536886874334,4.29315893754759,True
Freeze blocks 0-11,Freeze blocks 0-11 (BN frozen),0.9878608,0.5994056,6.78293284592852,0.0024645008973309,4.289903401820418,True
